season,team_a,team_b,score_a,score_b,neutral_site,round_name,game_date,home_team,home_edge_a,rest_days_a,rest_days_b,market_prob_a,market_spread_a,moneyline_a,moneyline_b
2024,San José St,UC Irvine,72,64,0,Regular Season,2023-11-08,San José St,1,,,,,,
2024,Boise St,Vanguard,89,55,0,Regular Season,2023-11-08,Boise St,1,,,,,,
2024,UC Riverside,UC Merced,76,69,0,Regular Season,2023-11-08,UC Riverside,1,,,,,,
2024,Bryant,Fisher,140,79,0,Regular Season,2023-11-08,Bryant,1,0,,,,,
2024,Weber St,B'tine Mesa,96,62,0,Regular Season,2023-11-08,Weber St,1,,,,,,
2024,Montana,NW Indian,107,59,0,Regular Season,2023-11-08,Montana,1,,0,,,,
2024,Texas A&M-CC,SW Adventist,111,46,0,Regular Season,2023-11-08,Texas A&M-CC,1,,0,,,,
2024,North Texas,Northern Iowa,83,77,0,Regular Season,2023-11-08,North Texas,1,,,,,,
2024,E Kentucky,WVU Tech,108,72,0,Regular Season,2023-11-08,E Kentucky,1,,,,,,
2024,Ohio,Troy,88,70,0,MAC-SBC Challenge,2023-11-09,Ohio,1,,2,,,,
2024,New Hampshire,Curry,115,38,0,Regular Season,2023-11-09,New Hampshire,1,1,,,,,
2024,UC Davis,Pepperdine,79,78,0,Regular Season,2023-11-09,UC Davis,1,1,1,,,,
2024,Santa Clara,Utah Tech,77,69,0,Regular Season,2023-11-09,Santa Clara,1,,,,,,
2024,San Diego,Jackson St,87,61,0,Regular Season,2023-11-09,San Diego,1,1,1,,,,
2024,Portland,Lewis & Clark,89,72,0,Regular Season,2023-11-09,Portland,1,1,,,,,
2024,Syracuse,Canisius,89,77,0,Regular Season,2023-11-09,Syracuse,1,1,,,,,
2024,FDU,PSU Brandywine,107,63,0,Regular Season,2023-11-09,FDU,1,1,,,,,
2024,E Illinois,Monmouthil,91,45,0,Regular Season,2023-11-09,E Illinois,1,1,,,,,
2024,Penn,Bucknell,80,61,0,Regular Season,2023-11-09,Penn,1,2,1,,,,
2024,S Dakota St,Dkta Wesleyan,83,55,0,Regular Season,2023-11-09,S Dakota St,1,1,,,,,
2024,SMU,W Illinois,90,53,0,Regular Season,2023-11-09,SMU,1,1,1,,,,
2024,Drake,Lipscomb,85,70,0,Regular Season,2023-11-09,Drake,1,,1,,,,
2024,N Colorado,Northern NM,81,60,0,Regular Season,2023-11-09,N Colorado,1,1,0,,,,
2024,Cleveland St,Defiance,102,41,0,Regular Season,2023-11-09,Cleveland St,1,1,,,,,
2024,UNLV,Southern,71,85,0,Regular Season,2023-11-09,UNLV,1,,1,,,,
2024,Delaware,GOLDY,101,68,0,Regular Season,2023-11-09,Delaware,1,1,,,,,
2024,Loyola Chicago,FAU,62,75,1,Regular Season,2023-11-09,,0,,,,,,
2024,Texas Tech,E Texas A&M,73,46,0,Regular Season,2023-11-09,Texas Tech,1,,1,,,,
2024,Morehead St,Shawnee State,96,40,0,Regular Season,2023-11-09,Morehead St,1,1,,,,,
2024,Mississippi St,Arizona St,71,56,1,Regular Season,2023-11-09,,0,,,,,,
2024,N Dakota St,Mount Marty,93,66,0,Regular Season,2023-11-09,N Dakota St,1,1,1,,,,
2024,Seattle U,Prairie View,71,60,0,Regular Season,2023-11-09,Seattle U,1,,2,,,,
2024,Cornell,SUNY Morris,107,86,0,Regular Season,2023-11-09,Cornell,1,1,,,,,
2024,Saint Louis,Lincoln (MO),102,66,0,Regular Season,2023-11-09,Saint Louis,1,1,,,,,
2024,Alcorn St,Xavier (LA),70,62,0,Regular Season,2023-11-09,Alcorn St,1,1,,,,,
2024,New Mexico St,Sul Ross State,84,49,0,Regular Season,2023-11-09,New Mexico St,1,1,,,,,
2024,Morgan St,Cheyney (PA),100,52,0,Regular Season,2023-11-09,Morgan St,1,1,,,,,
2024,Baylor,John Brown,96,70,0,Regular Season,2023-11-09,Baylor,1,0,,,,,
2024,Kent State,James Madison,108,113,0,MAC-SBC Challenge,2023-11-10,Kent State,1,2,2,,,,
2024,Nebraska,Florida A&M,81,54,0,Regular Season,2023-11-10,Nebraska,1,2,1,,,,
2024,VMI,Christendom,87,53,0,Regular Season,2023-11-10,VMI,1,2,,,,,
2024,Iowa State,Lindenwood,102,47,0,Regular Season,2023-11-10,Iowa State,1,2,2,,,,
2024,Rhode Island,Fairfield,93,80,0,Regular Season,2023-11-10,Rhode Island,1,2,2,,,,
2024,Long Island,Air Force,67,82,0,Regular Season,2023-11-10,Long Island,1,,2,,,,
2024,Saint Joseph's,Penn,69,61,0,Big 5 Classic,2023-11-10,Saint Joseph's,1,2,0,,,,
2024,South Florida,SC State,96,52,0,Regular Season,2023-11-10,South Florida,1,,2,,,,
2024,Wichita St,Western KY,71,61,0,Regular Season,2023-11-10,Wichita St,1,2,2,,,,
2024,Xavier,Jacksonville,79,56,0,Regular Season,2023-11-10,Xavier,1,2,2,,,,
2024,Michigan,Youngstown St,92,62,0,Regular Season,2023-11-10,Michigan,1,1,2,,,,
2024,Duquesne,Charleston,90,72,1,Veterans Classic,2023-11-10,,0,2,2,,,,
2024,Quinnipiac,C Connecticut,74,70,0,Regular Season,2023-11-10,Quinnipiac,1,2,2,,,,
2024,TCU,Omaha,82,60,0,Regular Season,2023-11-10,TCU,1,2,2,,,,
2024,McNeese,Biblical Stud,96,55,0,Regular Season,2023-11-10,McNeese,1,2,,,,,
2024,Charlotte,Liberty,59,71,1,Hall of Fame Series - Charlotte,2023-11-10,,0,2,2,,,,
2024,Washington,N Kentucky,75,67,0,Regular Season,2023-11-10,Washington,1,2,2,,,,
2024,SMU,Lamar,78,67,0,Regular Season,2023-11-10,SMU,1,0,2,,,,
2024,Dartmouth,UMass Lowell,48,81,0,Regular Season,2023-11-10,Dartmouth,1,2,3,,,,
2024,Idaho,CSU Northridge,73,76,0,Regular Season,2023-11-10,Idaho,1,2,2,,,,
2024,Merrimack,Worcester St,93,72,0,Regular Season,2023-11-10,Merrimack,1,2,,,,,
2024,Charleston So,North Florida,70,81,0,Regular Season,2023-11-10,Charleston So,1,2,2,,,,
2024,Villanova,Le Moyne,83,57,0,Regular Season,2023-11-10,Villanova,1,2,1,,,,
2024,Stonehill,Army,57,44,0,Regular Season,2023-11-10,Stonehill,1,2,2,,,,
